campaign_id,campaign_name,campaign_type,channel,start_date,end_date,discount_pct,target_segment,campaign_number_of_type,budget_spent,reach
CAMP0001,Clearance #1 - Mar 2022,Clearance,Social Media,2022-03-02,2022-03-10,8.74,Regular,1,4779.52,4069
CAMP0002,Flash Sale #1 - Sep 2022,Flash Sale,In-App,2022-09-24,2022-10-02,9.53,Regular,1,4531.21,2689
CAMP0003,Clearance #2 - Jun 2022,Clearance,Email,2022-06-27,2022-07-11,18.94,Budget,2,4324.09,4175
CAMP0004,Seasonal #1 - Sep 2021,Seasonal,Multi-Channel,2021-09-03,2021-09-05,11.01,Regular,1,1474.39,1685
CAMP0005,Email Blast #1 - Nov 2021,Email Blast,In-App,2021-11-19,2021-12-02,14.47,Premium,1,3979.1,4608
CAMP0006,Loyalty Reward #1 - Sep 2022,Loyalty Reward,Social Media,2022-09-16,2022-09-30,8.66,Regular,1,8097.47,4325
CAMP0007,Flash Sale #2 - May 2024,Flash Sale,Multi-Channel,2024-05-20,2024-05-21,12.47,Premium,2,405.47,572
CAMP0008,Email Blast #2 - Mar 2022,Email Blast,Push Notification,2022-03-17,2022-03-31,10.12,Premium,2,1022.74,940
CAMP0009,Clearance #3 - Nov 2022,Clearance,Email,2022-11-03,2022-11-06,21.45,All,3,7931.24,3227
CAMP0010,Seasonal #2 - Jul 2021,Seasonal,Multi-Channel,2021-07-06,2021-07-18,7.86,Regular,2,8421.26,3353
CAMP0011,Email Blast #3 - May 2022,Email Blast,Social Media,2022-05-24,2022-05-30,14.11,Budget,3,5299.7,2623
CAMP0012,Flash Sale #3 - Mar 2023,Flash Sale,Push Notification,2023-03-23,2023-04-01,7.62,Budget,3,2417.54,2700
CAMP0013,Loyalty Reward #2 - Apr 2021,Loyalty Reward,Email,2021-04-11,2021-04-22,9.58,Regular,2,2077.76,880
CAMP0014,Seasonal #3 - Sep 2022,Seasonal,Multi-Channel,2022-09-05,2022-09-10,12.72,Budget,3,8167.96,4181
CAMP0015,Flash Sale #4 - Dec 2021,Flash Sale,Push Notification,2021-12-23,2021-12-24,19.12,Premium,4,2808.67,3607
CAMP0016,Seasonal #4 - Apr 2023,Seasonal,Multi-Channel,2023-04-09,2023-04-23,15.42,Regular,4,984.24,1579
CAMP0017,Seasonal #5 - Jul 2023,Seasonal,In-App,2023-07-16,2023-07-25,9.5,Regular,5,5382.35,3103
CAMP0018,Loyalty Reward #3 - Feb 2024,Loyalty Reward,In-App,2024-02-01,2024-02-05,18.09,Premium,3,2398.71,1055
CAMP0019,Email Blast #4 - Jul 2021,Email Blast,Social Media,2021-07-13,2021-07-21,8.73,Premium,4,4122.09,3057
CAMP0020,Email Blast #5 - Jul 2021,Email Blast,In-App,2021-07-28,2021-08-10,15.19,Regular,5,8400.61,3457
